user_id,language,vision_type,familiarity,primary_use,created_at
1,English,Totally Blind,Beginner,Education,2026-03-12 23:27:15
2,English,Totally Blind,Advanced,Work,2026-03-12 23:36:12
3,Hindi,Totally Blind,Beginner,Education,2026-03-13 00:07:00
4,English,Totally Blind,Beginner,Education,2026-03-13 00:10:27
5,English,Totally Blind,Intermediate,General,2026-03-13 00:22:08
6,English,Totally Blind,Advanced,Work,2026-03-13 11:57:53
7,English,Totally Blind,Beginner,Education,2026-03-13 14:26:43
8,English,Totally Blind,Advanced,Work,2026-03-15 03:07:59
9,English,Totally Blind,Advanced,Personal,2026-03-18 08:38:30
10,English,Totally Blind,Beginner,Education,2026-04-06 11:24:21
11,Hindi,Totally Blind,Beginner,Work,2026-04-13 11:25:54
12,English,Totally Blind,Beginner,Education,2026-04-20 10:21:52
13,English,Totally Blind,Beginner,Education,2026-04-22 08:35:36
